gift_id,contact_id,gift_date,amount,gift_type,campaign
1,003XX00000BRNtp3Fa,2023-07-05,20.0,one_time,
2,003XX00000BRNtp3Fa,2023-09-12,20.0,one_time,Spring Appeal 2024
3,003XX00000BRNtp3Fa,2025-01-13,20.0,recurring,Annual Fund 2022
4,003XX00000dwyLGaac,2020-05-21,35,recurring,Spring Gala 2022
5,003XX000008jhuDkf0,2019-05-01,20.0,one_time,
6,003XX000008jhuDkf0,2019-10-11,20.0,one_time,Annual Fund 2021
7,003XX000008jhuDkf0,2019-10-23,20.0,one_time,
8,003XX000008jhuDkf0,2020-04-03,20.0,event,Spring Appeal 2024
9,003XX000008jhuDkf0,2020-09-03,20.0,one_time,Year-End Appeal 2023
10,003XX00000GatTlfXj,2023-05-12,20.0,event,Spring Gala 2022
11,003XX00000GatTlfXj,2023-05-12,20.0,one_time,Spring Appeal 2023
12,003XX00000GatTlfXj,2023-05-12,20.0,planned_giving,
13,003XX00000uhlNNbBU,2021-10-08,20.0,recurring,Year-End Appeal 2024
14,003XX00000uhlNNbBU,2021-12-20,20.0,one_time,Spring Appeal 2023
15,003XX00000uhlNNbBU,2022-01-02,20.0,recurring,Year-End Appeal 2023
16,003XX00000uhlNNbBU,2022-12-18,20.0,one_time,Year-End Appeal 2021
17,003XX00000RbujpUeU,2024-11-10,20.0,planned_giving,Spring Appeal 2023
18,003XX00000RbujpUeU,2025-11-01,20.0,recurring,Annual Fund 2022
19,003XX00000RbujpUeU,2026-02-22,20.0,recurring,Spring Appeal 2024
20,003XX00000RbujpUeU,2026-02-22,20.0,one_time,Year-End Appeal 2021
21,003XX00000SWSrHCDS,2016-04-23,20.0,recurring,Year-End Appeal 2023
22,003XX00000SWSrHCDS,2016-04-23,20.0,recurring,
23,003XX00000SWSrHCDS,2016-04-23,20.0,recurring,Annual Fund 2021
24,003XX00000SWSrHCDS,2016-04-23,20.0,one_time,Major Gift Initiative 2022
25,003XX00000JKEAbkSO,2006-09-13,30,recurring,
26,003XX00000JKEAbkSO,2007-12-08,20.0,recurring,Annual Fund 2023
27,003XX00000h8WYLH0c,2020-10-13,150,event,Annual Fund 2021
28,003XX00000h8WYLH0c,2021-06-18,150,event,Year-End Appeal 2021
29,003XX00000h8WYLH0c,2021-06-20,75,event,Spring Gala 2023
30,003XX00000h8WYLH0c,2021-07-25,150,event,Spring Appeal 2022
31,003XX00000h8WYLH0c,2021-08-22,75,one_time,
32,003XX00000ikiUHVpu,2020-11-12,150,planned_giving,Spring Gala 2022
33,003XX00000ikiUHVpu,2022-05-28,150,recurring,Spring Appeal 2024
34,003XX00000aZnRZ7K6,2021-11-02,20.0,event,Year-End Appeal 2024
35,003XX00000aZnRZ7K6,2022-07-03,20.0,recurring,
36,003XX00000aZnRZ7K6,2022-07-03,20.0,event,Spring Appeal 2024
37,003XX00000Lqm3sCWs,2018-11-05,25,one_time,Year-End Appeal 2021
38,003XX00000Lqm3sCWs,2018-11-19,25,recurring,Year-End Appeal 2023
39,003XX00000Lqm3sCWs,2020-09-03,25,one_time,Year-End Appeal 2023
40,003XX00000Lqm3sCWs,2022-11-09,25,recurring,
41,003XX00000NTGsUJC4,2008-11-05,30,one_time,
42,003XX00000NTGsUJC4,2009-10-25,20.0,event,
43,003XX00000NTGsUJC4,2009-11-20,50,recurring,Annual Fund 2023
44,003XX00000NTGsUJC4,2010-11-02,20.0,one_time,Spring Appeal 2022
45,003XX00000NTGsUJC4,2012-02-24,25,one_time,Year-End Appeal 2023
46,003XX00000n8PBwVtm,2004-12-01,40,one_time,Spring Gala 2023
47,003XX00000n8PBwVtm,2012-12-17,35,one_time,Spring Gala 2022
