interaction_id,contact_id,interaction_date,interaction_type,details
1,003XX00000RnWWMQ6o,2021-11-19,meeting,Major gift conversation – preliminary
2,003XX00000RnWWMQ6o,2021-11-06,phone_call,Left voicemail
3,003XX00000mxaDX9g8,2020-06-15,phone_call,Outreach about Planned Giving Society
4,003XX00000mxaDX9g8,2024-03-20,email_open,Journal issue announcement
5,003XX00000mxaDX9g8,2025-06-17,email_open,Year-End Appeal 2023
6,003XX00000mxaDX9g8,2020-01-30,email_open,Journal issue announcement
7,003XX00000mxaDX9g8,2023-03-08,email_open,Annual event invitation
8,003XX00000mxaDX9g8,2025-05-03,mail_sent,Holiday card
9,003XX00000mxaDX9g8,2021-08-09,email_click,Clicked journal article link
10,003XX00000mxaDX9g8,2025-01-18,phone_call,Left voicemail
11,003XX00000mxaDX9g8,2021-12-15,email_click,Clicked donate button
12,003XX00000OOjEty8h,2025-08-09,email_click,Clicked donate button
13,003XX00000OOjEty8h,2023-05-18,mail_sent,Hedgehog Review print copy
14,003XX00000OOjEty8h,2020-01-19,meeting,Phone meeting rescheduled
15,003XX00000OOjEty8h,2022-02-25,email_click,Clicked donate button
16,003XX00000OOjEty8h,2021-01-26,phone_call,
17,003XX00000dwyLGaac,2022-06-17,phone_call,Left voicemail
18,003XX00000dwyLGaac,2022-05-02,mail_sent,Hedgehog Review print copy
19,003XX00000dwyLGaac,2022-03-04,email_open,Year-End Appeal 2023
20,003XX00000dwyLGaac,2025-04-27,email_click,
21,003XX00000dwyLGaac,2021-10-16,email_click,Clicked donate button
22,003XX00000dwyLGaac,2024-01-31,email_open,Spring fundraising newsletter
23,003XX00000dwyLGaac,2024-11-15,email_click,Clicked journal article link
24,003XX000008jhuDkf0,2020-06-26,meeting,Introductory meeting with development director
25,003XX000008jhuDkf0,2020-08-02,mail_sent,Stewardship impact report
26,003XX000008jhuDkf0,2021-10-09,email_click,Clicked donate button
27,003XX000008jhuDkf0,2025-10-10,meeting,Introductory meeting with development director
28,003XX000008jhuDkf0,2022-08-21,email_open,
29,003XX000008jhuDkf0,2023-08-28,meeting,Cultivation lunch
30,003XX00000pVi28u5O,2023-08-27,mail_sent,Holiday card
31,003XX00000pVi28u5O,2023-08-28,email_open,Journal issue announcement
32,003XX00000pVi28u5O,2022-08-29,email_open,
33,003XX00000pVi28u5O,2022-03-30,meeting,Cultivation lunch
34,003XX00000pVi28u5O,2020-10-28,email_click,
35,003XX00000pVi28u5O,2025-06-07,phone_call,Thank-you call after Year-End gift
36,003XX00000pVi28u5O,2021-08-16,meeting,Stewardship call – discussed giving impact
37,003XX00000GatTlfXj,2024-05-05,email_click,Clicked journal article link
38,003XX00000GatTlfXj,2025-02-17,email_click,Clicked event registration link
39,003XX00000GatTlfXj,2024-01-08,mail_sent,Hedgehog Review print copy
40,003XX00000GatTlfXj,2023-10-07,email_click,Clicked event registration link
41,003XX00000GatTlfXj,2020-09-01,email_open,Spring fundraising newsletter
42,003XX00000GatTlfXj,2021-03-31,email_click,
43,003XX00000GatTlfXj,2024-09-09,meeting,Stewardship call – discussed giving impact
44,003XX00000GatTlfXj,2022-06-19,event_attended,Homecoming Reception 2023
45,003XX00000GatTlfXj,2021-10-04,phone_call,
46,003XX00000GatTlfXj,2022-07-29,email_click,Clicked donate button
47,003XX00000GatTlfXj,2025-11-07,meeting,Cultivation lunch
48,003XX00000GatTlfXj,2025-04-23,email_click,
49,003XX00000GatTlfXj,2020-02-29,event_attended,Book Launch event
50,003XX00000pNMBPd0E,2022-10-12,email_click,Clicked journal article link
51,003XX00000pNMBPd0E,2022-06-29,meeting,Phone meeting rescheduled
52,003XX00000pNMBPd0E,2020-01-21,email_click,
53,003XX00000pNMBPd0E,2020-06-13,email_open,Annual event invitation
54,003XX00000bu0RweOb,2020-05-17,phone_call,Left voicemail
55,003XX00000bu0RweOb,2024-06-03,phone_call,Left voicemail
56,003XX00000bu0RweOb,2021-02-05,mail_sent,Planned giving brochure
57,003XX00000uhlNNbBU,2020-02-20,email_open,
58,003XX00000uhlNNbBU,2024-07-23,mail_sent,Holiday card
59,003XX00000uhlNNbBU,2024-01-08,email_click,Clicked journal article link
60,003XX00000uhlNNbBU,2021-01-06,email_click,Clicked donate button
61,003XX00000j5j4X6Mk,2023-06-02,mail_sent,Holiday card
62,003XX00000RbujpUeU,2020-04-09,meeting,Cultivation lunch
63,003XX00000RbujpUeU,2021-07-21,meeting,Cultivation lunch
64,003XX00000RbujpUeU,2024-02-26,email_click,
65,003XX00000RbujpUeU,2020-01-06,mail_sent,Annual Fund appeal letter
66,003XX00000RbujpUeU,2023-09-25,meeting,Phone meeting rescheduled
67,003XX00000RbujpUeU,2023-04-29,email_open,Annual event invitation
68,003XX00000RbujpUeU,2026-01-30,event_attended,Virtual Symposium on Culture & Democracy
69,003XX00000SWSrHCDS,2023-10-07,email_open,
70,003XX00000SWSrHCDS,2025-10-09,email_open,
71,003XX00000SWSrHCDS,2020-07-30,event_attended,Spring Gala 2022
72,003XX00000SWSrHCDS,2024-02-06,meeting,Cultivation lunch
73,003XX00000JKEAbkSO,2024-02-09,event_attended,Spring Gala 2023
74,003XX00000JKEAbkSO,2020-10-01,mail_sent,Stewardship impact report
75,003XX00000JKEAbkSO,2022-04-18,mail_sent,Holiday card
76,003XX00000JKEAbkSO,2022-09-04,event_attended,Virtual Symposium on Culture & Democracy
77,003XX00000R6yicTU8,2022-05-09,meeting,Stewardship call – discussed giving impact
78,003XX00000R6yicTU8,2023-12-15,event_attended,Homecoming Reception 2023
79,003XX00000R6yicTU8,2024-09-28,phone_call,Follow-up on lapsed donor reengagement
80,003XX00000R6yicTU8,2020-09-16,email_open,Spring fundraising newsletter
81,003XX00000R6yicTU8,2025-01-27,event_attended,Book Launch event
82,003XX00000R6yicTU8,2025-11-27,phone_call,Thank-you call after Year-End gift
83,003XX00000LluIEv0V,2025-12-18,mail_sent,Stewardship impact report
84,003XX00000LluIEv0V,2025-01-25,event_attended,Virtual Symposium on Culture & Democracy
85,003XX00000XTsv2CEn,2020-09-25,mail_sent,Holiday card
86,003XX00000XTsv2CEn,2020-12-23,meeting,Introductory meeting with development director
87,003XX00000XTsv2CEn,2022-01-02,meeting,Major gift conversation – preliminary
88,003XX00000XTsv2CEn,2021-03-23,email_open,Journal issue announcement
89,003XX00000XTsv2CEn,2021-04-03,event_attended,Spring Gala 2023
90,003XX00000S7qcS90G,2022-04-16,email_click,Clicked donate button
91,003XX00000S7qcS90G,2024-09-02,event_attended,Virtual Symposium on Culture & Democracy
92,003XX00000S7qcS90G,2025-04-25,email_click,Clicked journal article link
93,003XX00000PzdyuVH7,2020-03-28,meeting,Major gift conversation – preliminary
94,003XX00000ky6GOB2i,2020-03-31,email_open,Journal issue announcement
95,003XX00000h8WYLH0c,2024-08-13,event_attended,Virtual Symposium on Culture & Democracy
96,003XX00000h8WYLH0c,2023-08-29,event_attended,Book Launch event
97,003XX00000h8WYLH0c,2025-12-11,phone_call,
98,003XX00000h8WYLH0c,2025-02-18,meeting,Major gift conversation – preliminary
99,003XX00000h8WYLH0c,2021-06-24,phone_call,Follow-up on lapsed donor reengagement
100,003XX00000h8WYLH0c,2022-11-30,email_click,Clicked event registration link
101,003XX00000h8WYLH0c,2024-03-03,meeting,Major gift conversation – preliminary
102,003XX00000h8WYLH0c,2021-08-30,email_open,Spring fundraising newsletter
103,003XX00000h8WYLH0c,2025-02-10,event_attended,Spring Gala 2023
104,003XX00000h8WYLH0c,2021-10-20,phone_call,
105,003XX00000h8WYLH0c,2022-01-16,event_attended,Spring Gala 2023
106,003XX00000h8WYLH0c,2021-09-20,mail_sent,Holiday card
107,003XX00000h8WYLH0c,2021-04-23,email_click,Clicked donate button
108,003XX00000h8WYLH0c,2021-06-02,event_attended,Book Launch event
109,003XX00000h8WYLH0c,2024-02-23,event_attended,Spring Gala 2023
110,003XX00000h8WYLH0c,2020-05-22,email_click,Clicked journal article link
111,003XX00000h8WYLH0c,2021-08-28,event_attended,Homecoming Reception 2023
112,003XX00000h8WYLH0c,2026-01-20,meeting,Stewardship call – discussed giving impact
113,003XX00000h8WYLH0c,2023-05-20,phone_call,Thank-you call after Year-End gift
114,003XX00000h8WYLH0c,2024-07-15,email_open,Annual event invitation
115,003XX00000SnB90aGs,2023-08-04,meeting,Stewardship call – discussed giving impact
116,003XX00000ikiUHVpu,2025-09-09,phone_call,Follow-up on lapsed donor reengagement
117,003XX00000ikiUHVpu,2023-04-25,mail_sent,Planned giving brochure
118,003XX00000ikiUHVpu,2021-08-25,event_attended,Virtual Symposium on Culture & Democracy
119,003XX00000ikiUHVpu,2024-12-15,mail_sent,Hedgehog Review print copy
120,003XX00000ikiUHVpu,2021-04-05,mail_sent,Planned giving brochure
121,003XX00000ikiUHVpu,2021-07-25,email_open,
122,003XX00000swjFDJmp,2023-06-15,email_open,Year-End Appeal 2023
123,003XX00000swjFDJmp,2022-06-21,meeting,Cultivation lunch
124,003XX00000swjFDJmp,2021-01-13,event_attended,Homecoming Reception 2023
125,003XX00000swjFDJmp,2022-03-10,email_open,Annual Fund thank-you
126,003XX00000swjFDJmp,2022-06-28,phone_call,Follow-up on lapsed donor reengagement
127,003XX00000nxkVEcCW,2024-12-29,phone_call,Thank-you call after Year-End gift
128,003XX00000nxkVEcCW,2024-06-03,phone_call,Outreach about Planned Giving Society
129,003XX00000Rso42UkI,2025-09-26,event_attended,Spring Gala 2022
130,003XX00000Rso42UkI,2024-01-18,mail_sent,Planned giving brochure
131,003XX00000Rso42UkI,2024-10-17,email_click,Clicked journal article link
132,003XX00000Rso42UkI,2024-03-07,meeting,Introductory meeting with development director
133,003XX00000Rso42UkI,2023-11-13,event_attended,Homecoming Reception 2023
134,003XX00000Rso42UkI,2024-12-30,event_attended,Virtual Symposium on Culture & Democracy
135,003XX00000Lqm3sCWs,2024-12-24,mail_sent,Planned giving brochure
136,003XX00000Lqm3sCWs,2023-03-28,meeting,Stewardship call – discussed giving impact
137,003XX00000Lqm3sCWs,2024-10-02,mail_sent,Planned giving brochure
138,003XX00000NTGsUJC4,2020-12-18,phone_call,Outreach about Planned Giving Society
139,003XX00000NTGsUJC4,2023-05-27,email_click,
140,003XX00000NTGsUJC4,2023-10-05,phone_call,Thank-you call after Year-End gift
141,003XX00000NTGsUJC4,2024-03-19,phone_call,Thank-you call after Year-End gift
142,003XX00000NTGsUJC4,2024-08-04,email_open,
143,003XX00000NTGsUJC4,2024-08-24,event_attended,Spring Gala 2023
144,003XX00000n8PBwVtm,2021-07-14,mail_sent,Holiday card
145,003XX00000n8PBwVtm,2024-04-12,email_click,Clicked journal article link
146,003XX00000n8PBwVtm,2025-07-02,phone_call,Thank-you call after Year-End gift
147,003XX00000n8PBwVtm,2023-05-29,event_attended,Book Launch event
148,003XX00000n8PBwVtm,2025-03-13,phone_call,Outreach about Planned Giving Society
